UPC,NAME,IDProduct,L1,L2,L3,Brand,Manufacturer,Planogram
2800029830.0,NSCF TSTRS CHC ORGNL BLEND BTTL FRZ DRD,37930,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE TASTER S CHOICE ORIGINAL BLEND,NESTLE HOLDINGS INC,
2800030110.0,NSCF TSTRS CHC HOUSE BLND CNSTR INST COF,37931,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE TASTER S CHOICE,NESTLE HOLDINGS INC,
2800030250.0,NSCF TSTRS CHC HOUSE BLND CNSTR INST COF,37932,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE TASTER S CHOICE,NESTLE HOLDINGS INC,
2800030430.0,NSCF TSTRS CHC HOUSE BLND CNSTR INST COF,37933,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE TASTER S CHOICE,NESTLE HOLDINGS INC,
2800032620.0,NESCAFE CLASICO JAR SPRY DRD INST COFF 3,37934,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE CLASICO,NESTLE HOLDINGS INC,
2800032647.0,NSCF CLSC DECAF JAR SPRY DRD INST COFF 3,37935,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE CLASICO,NESTLE HOLDINGS INC,
2800036485.0,NESCAFE AZERA INTNS RSTD CNSTR INST COFF,37936,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE AZERA,NESTLE HOLDINGS INC,
2800037276.0,TASTERS CH.MEMENTO MOCHA,37937,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800037461.0,TC VANILLA COFFEE STICKS,37938,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned,
2800039331.0,NESCAFE CLASICO BONUS JAR,37939,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
2800043939.0,NESCAFE FRNCH VAN JAR FLV INST COFF 12 O,37940,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800045357.0,TC DECAF COFFEE STICKS PACK,37943,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned,
2800050247.0,NSCF C DRNKW INST C UNFLV NSCF C MUG DRN,37944,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE CLASICO,NESTLE HOLDINGS INC,
2800054465.0,NSCF CLSC JAR DECAF DECAF DCFFN DCFFN IN,37946,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE CLASICO,NESTLE HOLDINGS INC,
2800055137.0,NSCF TSTRS CHC HOUSE BLND INSTN COFF SNG,37947,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE TASTER S CHOICE,NESTLE HOLDINGS INC,
2800057307.0,NESCAFE CLASICO MILD,37948,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
2800057915.0,NESCAFE HZLNT JAR FLV INST COFF 12 OUNCE,37949,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800058938.0,NSCF TSTRS CHC HOUSE BLND INST COFF .42,37950,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE TASTER S CHOICE,NESTLE HOLDINGS INC,
2800063141.0,NSCF CLSC ENVLP IN BOX SPRY DRD INST COF,37951,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE CLASICO,NESTLE HOLDINGS INC,
2800064251.0,NESCAFE CLASICO JAR INST COFF INSTANT CO,37952,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE CLASICO,NESTLE HOLDINGS INC,
2800065429.0,NESCAFE CLASICO SUAVE,37953,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800067536.0,NESCAFE CAFE DE OLLA JAR FLV INST COFF 3,37954,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800070322.0,TC HAZELNUT COFFEE STCKS,37955,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned,
2800070612.0,NESCAFE FR RST SGL STK,37956,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800071456.0,NESCAFE CAFE DE OLLA JAR FLV INST COFF 6,37957,GROCERY (Corp 6),COFFEE,COFFEE INSTANT SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
